127.0.0.1, 2012-07-10 15:55:39, GET, /admin/default/edit/testGeogebraApp/controllers/default.py, HTTP/1.1, 200, 0.053977
127.0.0.1, 2012-07-10 15:55:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000537
127.0.0.1, 2012-07-10 15:55:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000540
127.0.0.1, 2012-07-10 15:55:49, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.035263
127.0.0.1, 2012-07-10 15:55:51, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.156539
127.0.0.1, 2012-07-10 15:55:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000835
127.0.0.1, 2012-07-10 15:55:54, GET, /admin/default/peek/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.044634
127.0.0.1, 2012-07-10 15:55:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000549
127.0.0.1, 2012-07-10 15:56:04, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.170498
127.0.0.1, 2012-07-10 15:56:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000600
127.0.0.1, 2012-07-10 15:56:07, GET, /testGeogebraApp/default/applet, HTTP/1.1, 200, 0.068903
127.0.0.1, 2012-07-10 15:56:33, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.157792
127.0.0.1, 2012-07-10 15:56:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000596
127.0.0.1, 2012-07-10 15:56:36, GET, /admin/default/peek/testGeogebraApp/controllers/default.py, HTTP/1.1, 200, 0.046193
127.0.0.1, 2012-07-10 15:56:36, GET, /favicon.ico, HTTP/1.1, 400, 0.001461
127.0.0.1, 2012-07-10 15:56:39, GET, /admin/default/edit/testGeogebraApp/controllers/default.py, HTTP/1.1, 200, 0.054879
127.0.0.1, 2012-07-10 15:56:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000541
127.0.0.1, 2012-07-10 15:56:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000458
127.0.0.1, 2012-07-10 15:56:49, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.037266
127.0.0.1, 2012-07-10 15:56:49, GET, /admin/default/design/testGeogebraApp, HTTP/1.1, 200, 0.155689
127.0.0.1, 2012-07-10 15:56:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000561
127.0.0.1, 2012-07-10 15:56:52, GET, /admin/default/peek/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.044200
127.0.0.1, 2012-07-10 15:56:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000682
127.0.0.1, 2012-07-10 15:56:54, GET, /admin/default/edit/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.056545
127.0.0.1, 2012-07-10 15:56:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000536
127.0.0.1, 2012-07-10 15:56:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000527
127.0.0.1, 2012-07-10 15:57:04, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.035957
127.0.0.1, 2012-07-10 15:57:14, GET, /testGeogebraApp/default/applet, HTTP/1.1, 200, 0.032399
127.0.0.1, 2012-07-10 15:57:41, GET, /admin/default/peek/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.045769
127.0.0.1, 2012-07-10 15:57:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000535
127.0.0.1, 2012-07-10 15:57:44, GET, /admin/default/edit/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.059935
127.0.0.1, 2012-07-10 15:57:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000577
127.0.0.1, 2012-07-10 15:57:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000541
127.0.0.1, 2012-07-10 15:57:54, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.037235
127.0.0.1, 2012-07-10 15:57:56, POST, /admin/default/edit/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.039445
127.0.0.1, 2012-07-10 15:57:58, GET, /testGeogebraApp/default/applet, HTTP/1.1, 500, 0.309894
127.0.0.1, 2012-07-10 15:57:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000582
127.0.0.1, 2012-07-10 15:58:01, GET, /admin/default/ticket/testGeogebraApp/127.0.0.1.2012-07-10.15-57-58.a8aa4ed8-3fb2-492d-9b67-c561c3c8faf3, HTTP/1.1, 200, 0.176281
127.0.0.1, 2012-07-10 15:58:02, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 200, 0.001584
127.0.0.1, 2012-07-10 15:58:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000540
127.0.0.1, 2012-07-10 15:58:26, GET, /admin/default/edit/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.060919
127.0.0.1, 2012-07-10 15:58:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000553
127.0.0.1, 2012-07-10 15:58:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000547
127.0.0.1, 2012-07-10 15:58:36, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.033867
127.0.0.1, 2012-07-10 16:00:07, POST, /admin/default/edit/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.040042
127.0.0.1, 2012-07-10 16:00:09, GET, /testGeogebraApp/default/applet, HTTP/1.1, 500, 0.120726
127.0.0.1, 2012-07-10 16:00:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000545
127.0.0.1, 2012-07-10 16:00:12, GET, /admin/default/ticket/testGeogebraApp/127.0.0.1.2012-07-10.16-00-09.11aff2ff-40ec-4462-a14a-e15474a0f755, HTTP/1.1, 200, 0.147964
127.0.0.1, 2012-07-10 16:00:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000580
127.0.0.1, 2012-07-10 16:00:34, GET, /admin/default/edit/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.055393
127.0.0.1, 2012-07-10 16:00:34, GET, /favicon.ico, HTTP/1.1, 400, 0.001914
127.0.0.1, 2012-07-10 16:00:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000559
127.0.0.1, 2012-07-10 16:00:44, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.036472
127.0.0.1, 2012-07-10 16:00:46, POST, /admin/default/edit/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.041548
127.0.0.1, 2012-07-10 16:00:47, GET, /testGeogebraApp/default/applet, HTTP/1.1, 500, 0.108655
127.0.0.1, 2012-07-10 16:00:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000540
127.0.0.1, 2012-07-10 16:00:49, GET, /admin/default/ticket/testGeogebraApp/127.0.0.1.2012-07-10.16-00-47.f038b79b-ce6f-480c-a084-c68472a841c1, HTTP/1.1, 200, 0.150759
127.0.0.1, 2012-07-10 16:00:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000536
127.0.0.1, 2012-07-10 16:01:00, GET, /admin/default/edit/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.057107
127.0.0.1, 2012-07-10 16:01:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000585
